term	section	course	instructor	whenWhere
Summer 2021	5102	ADJUS-120	Morrissey	NOT AVAILABLE
Summer 2021	5103	ADJUS-120	Morrissey	NOT AVAILABLE
Summer 2021	5112	ADJUS-121	Ramos	NOT AVAILABLE
Summer 2021	5122	ADJUS-122	Morrissey	NOT AVAILABLE
Summer 2021	2230	ADJUS-150C	Weaver	NOT AVAILABLE
Summer 2021	5532	ADJUS-221	Weaver	NOT AVAILABLE
Summer 2021	5542	ADJUS-222	Morrissey	NOT AVAILABLE
Summer 2021	8336	ADS-155	Moore	NOT AVAILABLE
Summer 2021	8005	ADS-168	Peterson	NOT AVAILABLE
Summer 2021	3916	ANTHR-115	Johnson	NOT AVAILABLE
Summer 2021	8846	ANTHR-120	Mercer	NOT AVAILABLE
Summer 2021	3921	ANTHR-130	Eastland	NOT AVAILABLE
Summer 2021	3923	ANTHR-130	Bazua	NOT AVAILABLE
Summer 2021	5800	ANTHR-130	Eastland	NOT AVAILABLE
Summer 2021	5927	ANTHR-130	Bazua	NOT AVAILABLE
Summer 2021	9485	ANTHR-130	Staff	NOT AVAILABLE
Summer 2021	3930	ANTHR-140	Nakama	NOT AVAILABLE
Summer 2021	3931	ANTHR-140	Mercer	NOT AVAILABLE
Summer 2021	8866	ANTHR-140	Mercer	NOT AVAILABLE
Summer 2021	9138	ANTHR-140	Smithson	NOT AVAILABLE
Summer 2021	9161	ANTHR-140	Hasten	NOT AVAILABLE
Summer 2021	3940	ANTHR-141L	Johnson	NOT AVAILABLE
Summer 2021	8216	ANTHR-141L	Mercer	NOT AVAILABLE
Summer 2021	1058	ART-102	Breton	NOT AVAILABLE
Summer 2021	45	ART-105	Bersamina	NOT AVAILABLE
Summer 2021	9003	ART-105	Godinez	NOT AVAILABLE
Summer 2021	222	ART-126	Fisher	NOT AVAILABLE
Summer 2021	223	ART-127	Fisher	NOT AVAILABLE
Summer 2021	5145	ART-166	Marker	NOT AVAILABLE
Summer 2021	9162	ART-298	Godinez	NOT AVAILABLE
Summer 2021	1933	ARTDM-105	Leeper	NOT AVAILABLE
Summer 2021	4072	ARTDM-150ID	King	NOT AVAILABLE
Summer 2021	4102	ARTDM-150ID	King	NOT AVAILABLE
Summer 2021	2051	ARTDM-165	King	NOT AVAILABLE
Summer 2021	2053	ARTDM-166	King	NOT AVAILABLE
Summer 2021	5156	ARTDM-171	Bennett	NOT AVAILABLE
Summer 2021	5007	ARTDM-214	Denning	NOT AVAILABLE
Summer 2021	5021	ARTDM-214	Denning	NOT AVAILABLE
Summer 2021	1057	ARTHS-193	Gand	NOT AVAILABLE
Summer 2021	9004	ARTHS-195	Lederman	NOT AVAILABLE
Summer 2021	5099	ARTHS-196	Gand	NOT AVAILABLE
Summer 2021	5551	ARTHS-197	Gand	NOT AVAILABLE
Summer 2021	1934	ARTHS-199	Koblik	NOT AVAILABLE
Summer 2021	297	ASTRO-110	Chiar	NOT AVAILABLE
Summer 2021	517	BIOSC-101	Wyler	NOT AVAILABLE
Summer 2021	516	BIOSC-102	Hoffmann	NOT AVAILABLE
Summer 2021	1149	BIOSC-102	Greene	NOT AVAILABLE
Summer 2021	1150	BIOSC-102	Hoffmann	NOT AVAILABLE
Summer 2021	9052	BIOSC-102	Inchauspe	NOT AVAILABLE
Summer 2021	9158	BIOSC-102	Inchauspe	NOT AVAILABLE
Summer 2021	1152	BIOSC-116	Fox	NOT AVAILABLE
Summer 2021	9226	BIOSC-116	Galvan	NOT AVAILABLE
Summer 2021	1153	BIOSC-139	Lee	NOT AVAILABLE
Summer 2021	1154	BIOSC-139	Khan	NOT AVAILABLE
Summer 2021	1155	BIOSC-139	Agostini	NOT AVAILABLE
Summer 2021	8143	BIOSC-139	Khan	NOT AVAILABLE
Summer 2021	9059	BIOSC-139	Hedayat	NOT AVAILABLE
Summer 2021	9061	BIOSC-139	Yancey	NOT AVAILABLE
Summer 2021	9204	BIOSC-139	Wiggins	NOT AVAILABLE
Summer 2021	1157	BIOSC-146	Bloom	NOT AVAILABLE
Summer 2021	1159	BIOSC-146	Staff	NOT AVAILABLE
Summer 2021	9257	BIOSC-161	Reyes	NOT AVAILABLE
Summer 2021	9201	BIOSC-170	Gallardo Cruz	NOT AVAILABLE
Summer 2021	1191	BIOSC-171	Taugher	NOT AVAILABLE
Summer 2021	1061	BUS-104	Winkler	NOT AVAILABLE
Summer 2021	3350	BUS-109	Lane	NOT AVAILABLE
Summer 2021	5660	BUS-109	Watkins	NOT AVAILABLE
Summer 2021	5661	BUS-109	Fogli	NOT AVAILABLE
Summer 2021	5662	BUS-109	Fogli	NOT AVAILABLE
Summer 2021	5670	BUS-109	Pieroni	NOT AVAILABLE
Summer 2021	9465	BUS-109	Zeglin	NOT AVAILABLE
Summer 2021	9202	BUS-109	Zeglin	NOT AVAILABLE
Summer 2021	2112	BUS-240	Lacayo	NOT AVAILABLE
Summer 2021	4135	BUS-240	Lacayo	NOT AVAILABLE
Summer 2021	5309	BUS-240	Shi	NOT AVAILABLE
Summer 2021	5313	BUS-240	Shi	NOT AVAILABLE
Summer 2021	5316	BUS-240	Shi	NOT AVAILABLE
Summer 2021	5250	BUS-250	Winkler	NOT AVAILABLE
Summer 2021	5323	BUS-250	Lane	NOT AVAILABLE
Summer 2021	2333	BUS-294	Kasin	NOT AVAILABLE
Summer 2021	5043	BUS-294	Watkins	NOT AVAILABLE
Summer 2021	9460	BUS-294	Shah	NOT AVAILABLE
Summer 2021	9203	BUS-294	Shah	NOT AVAILABLE
Summer 2021	7646	BUS-296	Heinemann	NOT AVAILABLE
Summer 2021	7647	BUS-296	Greenberg	NOT AVAILABLE
Summer 2021	7648	BUS-296	Berggren	NOT AVAILABLE
Summer 2021	5436	BUSAC-181	Shahbazi	NOT AVAILABLE
Summer 2021	3094	BUSAC-186	Shahbazi	NOT AVAILABLE
Summer 2021	5405	BUSAC-186	Puzia	NOT AVAILABLE
Summer 2021	9047	BUSAC-186	Najarro	NOT AVAILABLE
Summer 2021	9238	BUSAC-186	Najarro	NOT AVAILABLE
Summer 2021	5673	BUSAC-187	Pieroni	NOT AVAILABLE
Summer 2021	5674	BUSAC-187	Pieroni	NOT AVAILABLE
Summer 2021	9049	BUSAC-187	Najarro	NOT AVAILABLE
Summer 2021	9254	BUSAC-187	Najarro	NOT AVAILABLE
Summer 2021	6115	BUSMG-168	Olmos	NOT AVAILABLE
Summer 2021	6701	BUSMG-168	Winkler	NOT AVAILABLE
Summer 2021	5758	BUSMK-158	Olmos	NOT AVAILABLE
Summer 2021	5123	CARER-110	Munday	NOT AVAILABLE
Summer 2021	5140	CARER-110	Hollis	NOT AVAILABLE
Summer 2021	9083	CARER-110	Warren	NOT AVAILABLE
Summer 2021	5093	CARER-120	Jamshidnejad	NOT AVAILABLE
Summer 2021	5142	CARER-130	Lau	NOT AVAILABLE
Summer 2021	5150	CARER-130	Lau	NOT AVAILABLE
Summer 2021	141	CHEM-108	Yu	NOT AVAILABLE
Summer 2021	2125	CHEM-108	Kulp	NOT AVAILABLE
